"ID" "Ordine_presentazione" "TAM_1" "TAM_2" "TAM_3" "TAM_4" "TAM_5" "TAM_6" "TAM_7" "TAM_8" "TAM_9" "TAM_10" "TAM_11" "TAM_12" "TAM_13" "TAM_14" "TAM_15" "TAM_16" "TAM_17" "TAM_18"
"240" "SOG_0018_Source3" 1 4 3 4 1 4 4 1 1 5 5 1 4 4 5 5 2 4 2
"241" "SOG_0019_Source3" 2 5 4 3 5 4 5 1 1 4 3 1 3 3 4 5 2 5 3
"242" "SOG_0020_Source3" 1 4 3 4 2 3 4 2 2 4 3 2 4 4 5 3 2 4 2
"243" "SOG_0021_Source3" 1 3 3 3 1 3 3 1 2 4 3 4 4 3 5 3 1 5 2
"244" "SOG_0022_Source3" 2 5 4 4 1 4 4 2 2 4 3 2 3 4 5 4 2 4 2
"245" "SOG_0023_Source3" 2 4 3 2 1 3 3 1 1 1 1 3 2 4 4 3 1 4 3
"246" "SOG_0024_Source3" 2 5 5 4 1 5 5 1 1 4 5 1 1 5 5 5 1 5 1
"247" "SOG_0025_Source3" 2 4 4 2 NA 4 NA 1 2 3 3 1 1 3 5 4 1 4 2
"248" "SOG_0026_Source3" 1 5 2 5 1 2 5 4 4 3 2 1 3 5 5 2 3 2 4
"249" "SOG_0027_Source3" 1 4 4 4 1 3 5 2 4 5 2 5 5 4 5 3 2 1 1
"250" "SOG_0028_Source3" 1 5 3 2 1 1 3 4 2 4 2 1 4 4 5 3 2 5 3
"251" "SOG_0029_Source3" 1 5 4 4 1 3 4 2 3 3 3 3 3 5 5 4 2 5 2
"252" "SOG_0030_Source3" 1 4 3 2 1 4 4 2 2 4 2 2 2 4 4 4 2 4 2
"253" "SOG_0031_Source3" 2 2 2 1 1 3 3 1 1 3 1 2 1 5 5 3 5 2 2
"254" "SOG_0032_Source3" 1 4 4 1 1 3 4 2 2 4 4 2 3 4 4 5 4 4 2
"255" "SOG_0033_Source3" 1 3 3 2 2 2 3 2 3 3 2 NA 3 3 5 3 2 2 3
"256" "SOG_0034_Source3" 1 4 3 2 1 3 4 2 2 2 2 2 3 4 5 3 2 3 2
"257" "SOG_0035_Source3" 1 4 3 3 3 3 4 4 2 4 4 1 2 4 5 3 2 3 4
"258" "SOG_0036_Source3" 1 5 3 1 1 1 4 4 2 5 5 3 3 4 5 5 3 5 3
"259" "SOG_0037_Source3" 1 4 4 4 1 4 4 1 1 4 5 3 4 4 5 5 1 5 1
"260" "SOG_0038_Source3" 1 5 5 4 1 4 5 1 1 5 4 5 5 5 5 5 1 5 1
"261" "SOG_0039_Source3" 1 4 5 4 1 5 4 1 1 3 5 1 4 5 5 5 1 5 1
"262" "SOG_0040_Source3" 1 4 4 3 1 4 4 1 1 3 4 3 3 1 5 5 1 5 2
"263" "SOG_0041_Source3" 1 4 3 3 1 5 5 1 1 3 2 1 3 4 5 5 4 3 2
"264" "SOG_0042_Source3" 1 5 4 4 1 4 5 1 2 5 5 5 5 5 5 4 2 4 1
"265" "SOG_0043_Source3" 1 4 3 2 1 4 4 1 1 5 3 4 4 4 5 3 2 4 1
"266" "SOG_0044_Source3" 1 5 5 5 1 5 5 NA 5 5 1 1 5 5 5 1 5 5 1
"267" "SOG_0045_Source3" 1 2 3 2 1 3 3 2 2 3 1 1 1 1 4 4 3 5 5
"268" "SOG_0046_Source3" 2 4 3 3 NA 1 5 1 NA 3 2 3 3 2 5 4 1 4 2
"269" "SOG_0047_Source3" 2 5 4 5 1 5 5 1 1 4 3 3 4 5 5 5 2 5 2
"270" "SOG_0048_Source3" 1 3 3 4 1 3 5 1 2 5 1 4 3 5 4 4 1 4 1
"271" "SOG_0049_Source3" 1 4 3 1 3 1 4 4 5 3 1 3 1 2 4 3 1 1 1
"272" "SOG_0050_Source3" 1 4 3 4 1 4 4 1 1 4 3 3 3 4 4 4 1 4 3
"273" "SOG_0051_Source3" 1 4 3 3 1 4 4 1 1 4 4 3 4 4 4 5 3 5 4
"274" "SOG_0052_Source3" 1 5 4 4 2 4 4 1 1 2 4 1 3 3 5 4 2 5 3
"275" "SOG_0053_Source3" 1 4 3 3 2 NA 4 2 3 3 3 1 3 3 5 3 2 3 3
"276" "SOG_0054_Source3" 1 3 4 4 1 4 4 1 2 3 4 4 4 5 4 4 2 2 2
"277" "SOG_0055_Source3" 1 5 3 4 1 4 4 1 1 4 4 1 4 4 5 4 1 3 1
"278" "SOG_0056_Source3" 1 4 4 4 1 4 4 2 1 4 4 1 3 4 4 5 3 5 3
"279" "SOG_0057_Source3" 1 5 4 5 1 4 4 1 2 3 3 3 4 4 5 3 1 5 2
"280" "SOG_0058_Source3" 1 4 3 2 2 3 4 2 2 3 3 3 3 2 4 4 2 4 4
"281" "SOG_0059_Source3" 2 5 4 3 1 3 5 2 1 4 2 3 4 4 5 4 1 5 2
"282" "SOG_0060_Source3" 1 4 3 3 1 3 4 2 2 4 3 2 3 4 5 3 3 3 2
"283" "SOG_0061_Source3" 2 4 4 4 1 3 3 2 2 4 4 NA NA NA 5 3 2 4 2
"284" "SOG_0062_Source3" 2 4 4 2 1 3 4 1 3 4 3 2 3 4 5 4 2 4 2
"285" "SOG_0063_Source3" 1 4 3 2 1 3 5 1 2 5 2 4 4 3 5 3 1 3 2
"286" "SOG_0064_Source3" 1 4 NA 3 1 4 3 1 1 2 2 1 1 3 5 2 2 4 4
"287" "SOG_0065_Source3" 1 3 2 2 2 2 2 2 2 2 2 1 2 4 5 2 2 2 3
"288" "SOG_0066_Source3" 1 4 4 5 1 4 5 1 2 4 4 4 4 5 5 4 1 5 2
"289" "SOG_0067_Source3" 1 3 3 2 1 2 3 2 2 3 2 2 2 4 5 4 2 4 3
"290" "SOG_0068_Source3" 1 2 2 2 2 4 4 1 2 2 1 1 4 4 5 1 2 5 2
"291" "SOG_0069_Source3" 1 3 4 4 1 4 5 1 1 5 2 1 4 4 5 2 2 4 2
"292" "SOG_0070_Source3" 2 4 5 2 1 4 4 1 1 3 5 1 1 4 5 5 2 5 2
"293" "SOG_0071_Source3" 1 5 4 2 2 1 3 2 1 1 5 NA 1 1 5 5 2 5 5
"294" "SOG_0072_Source3" 1 5 3 3 2 4 4 1 2 3 2 2 2 3 5 3 2 4 2
"295" "SOG_0073_Source3" 1 4 4 2 1 4 4 1 1 3 4 1 1 4 5 5 3 5 5
"296" "SOG_0074_Source3" 1 5 3 4 1 4 5 1 1 1 4 2 2 5 5 5 1 5 3
"297" "SOG_0075_Source3" 1 4 3 4 2 4 4 2 2 4 2 2 4 4 5 5 2 5 2
"298" "SOG_0076_Source3" 1 5 3 5 1 4 5 1 1 5 2 2 4 5 5 3 1 4 3
"299" "SOG_0077_Source3" 1 2 4 2 1 4 1 4 4 1 4 1 1 4 4 4 4 4 4
"300" "SOG_0078_Source3" 1 4 3 2 1 4 5 1 1 1 3 1 2 4 5 5 1 5 1
"301" "SOG_0079_Source3" 1 4 4 2 2 3 4 3 3 4 2 2 4 4 5 4 1 2 2
"302" "SOG_0080_Source3" 1 4 3 2 1 4 4 1 1 2 2 3 4 5 5 4 1 5 1
"303" "SOG_0081_Source3" 1 4 4 3 1 1 4 3 4 1 1 1 4 4 5 2 1 1 2
"304" "SOG_0082_Source3" 1 5 4 4 1 2 3 1 1 4 1 1 3 4 5 2 3 1 2
"305" "SOG_0083_Source3" 1 3 4 4 1 4 4 2 2 2 2 3 2 4 4 3 2 3 2
"306" "SOG_0084_Source3" 1 5 4 1 1 4 5 1 1 5 5 1 3 5 5 5 2 5 1
"307" "SOG_0085_Source3" 1 4 3 1 1 1 2 2 2 2 1 1 3 4 5 2 2 4 3
"308" "SOG_0086_Source3" 1 4 4 4 2 4 4 2 2 3 4 1 3 4 4 4 2 5 2
"309" "SOG_0087_Source3" 1 5 NA 3 3 NA NA NA 1 1 1 1 1 2 5 5 2 1 1
"310" "SOG_0088_Source3" 1 5 5 4 1 5 5 1 1 3 3 2 3 4 5 5 1 5 2
"311" "SOG_0089_Source3" 1 2 3 4 2 4 4 2 2 2 2 2 2 4 5 4 2 4 4
"312" "SOG_0090_Source3" 1 4 4 4 1 3 2 3 3 2 3 2 4 4 4 4 2 4 2
"313" "SOG_0091_Source3" 1 5 4 5 1 3 5 1 2 5 3 4 4 5 5 5 1 4 1
"314" "SOG_0092_Source3" 1 5 4 4 1 3 4 2 3 5 2 1 3 3 5 2 2 4 5
"315" "SOG_0093_Source3" 1 3 3 2 1 3 4 1 3 3 1 3 3 4 5 2 2 4 3
"316" "SOG_0094_Source3" 1 4 4 3 1 3 4 2 3 3 3 2 3 4 5 3 1 4 2
"317" "SOG_0095_Source3" 1 3 4 3 1 3 5 3 3 4 2 4 4 4 5 3 2 2 2
"318" "SOG_0096_Source3" 1 4 3 4 1 4 4 2 2 3 3 3 3 4 5 3 1 5 3
"319" "SOG_0097_Source3" 1 4 3 4 2 4 4 NA 2 2 2 1 3 4 5 2 2 3 3
"320" "SOG_0098_Source3" 1 4 3 2 1 4 4 1 1 3 4 1 3 4 5 5 4 5 3
"321" "SOG_0099_Source3" 1 5 3 5 5 3 5 5 4 5 1 5 5 1 5 2 5 5 4
"322" "SOG_0100_Source3" 1 5 5 5 1 5 5 1 1 4 1 1 4 1 5 3 1 3 1
"323" "SOG_0101_Source3" 2 4 4 4 2 4 5 1 1 4 4 4 4 4 5 5 2 4 2
"324" "SOG_0102_Source3" 2 4 3 2 2 2 4 2 2 4 1 1 2 2 5 2 4 2 4
"325" "SOG_0103_Source3" 2 4 4 2 1 3 5 2 2 4 3 5 4 5 5 4 1 5 1
"326" "SOG_0104_Source3" 2 5 3 2 1 4 4 2 2 4 1 1 2 3 5 4 2 4 2
"327" "SOG_0105_Source3" 2 4 3 2 1 3 4 1 3 5 3 1 3 3 5 4 3 4 4
"328" "SOG_0106_Source3" 2 5 4 2 1 4 4 1 2 4 4 2 3 4 5 5 5 5 2
"329" "SOG_0107_Source3" 2 5 4 3 1 4 4 1 2 4 4 5 5 5 5 4 1 5 1
"330" "SOG_0108_Source3" 2 4 4 4 1 3 4 1 1 3 4 2 3 4 3 5 4 4 3
"331" "SOG_0109_Source3" 2 3 4 4 4 4 3 1 1 1 3 1 1 2 4 4 2 5 5
"332" "SOG_0110_Source3" 2 4 3 5 1 2 5 1 1 5 3 5 5 5 5 3 2 3 1
