"ID" "Ordine_presentazione" "TAM_1" "TAM_2" "TAM_3" "TAM_4" "TAM_5" "TAM_6" "TAM_7" "TAM_8" "TAM_9" "TAM_10" "TAM_11" "TAM_12" "TAM_13" "TAM_14" "TAM_15" "TAM_16" "TAM_17" "TAM_18"
"57" "SOG_0057_Source1" 2 5 3 4 1 1 4 3 2 2 1 4 2 3 2 1 2 1 2
"58" "SOG_0058_Source1" 1 5 4 3 1 4 4 1 2 5 5 3 4 5 5 5 2 4 2
"59" "SOG_0059_Source1" 2 5 4 4 1 4 5 1 1 4 4 3 4 4 5 4 1 4 2
"60" "SOG_0060_Source1" 2 4 4 4 2 3 4 2 2 3 3 1 4 4 5 3 1 4 1
"61" "SOG_0061_Source1" 2 4 1 4 1 2 4 1 4 4 1 1 4 5 5 4 1 5 2
"62" "SOG_0062_Source1" 1 5 5 5 1 5 5 1 5 4 4 5 5 5 5 5 2 5 1
"63" "SOG_0063_Source1" 1 4 4 4 1 4 4 1 1 4 2 2 3 4 5 4 1 4 1
"64" "SOG_0064_Source1" 1 4 4 4 1 4 4 1 1 4 4 4 4 4 5 4 1 4 1
"65" "SOG_0065_Source1" 2 4 4 2 2 4 4 1 1 4 4 2 3 4 5 4 1 4 4
"66" "SOG_0066_Source1" 2 4 4 3 1 4 4 2 2 4 4 3 4 4 5 5 2 4 2
"67" "SOG_0067_Source1" 2 5 4 5 1 4 5 1 2 4 3 4 4 5 5 4 1 4 1
"68" "SOG_0068_Source1" 2 5 3 3 1 4 3 1 1 3 4 2 2 5 5 5 2 4 1
"69" "SOG_0069_Source1" 2 5 3 3 1 3 4 1 3 3 1 5 3 4 5 3 3 3 2
"70" "SOG_0070_Source1" 1 3 3 2 1 3 4 1 3 3 3 1 3 4 5 3 1 1 1
"71" "SOG_0071_Source1" 2 5 3 4 2 1 4 5 5 3 2 3 3 4 5 4 2 1 1
"72" "SOG_0072_Source1" 2 4 4 3 2 3 4 1 2 3 3 3 3 3 5 4 3 4 4
"73" "SOG_0073_Source1" 2 5 4 2 1 1 3 3 1 3 3 2 2 4 5 5 2 4 2
"74" "SOG_0074_Source1" 1 2 3 4 2 4 4 1 1 2 1 2 2 4 5 5 5 5 5
"75" "SOG_0075_Source1" 2 5 4 4 1 4 5 1 1 4 4 1 4 4 5 5 1 5 2
"76" "SOG_0076_Source1" 2 4 3 NA 2 5 4 1 1 3 3 2 2 3 4 5 2 2 NA
"77" "SOG_0077_Source1" 2 4 4 4 1 4 4 1 1 4 4 4 4 4 4 4 2 4 1
"78" "SOG_0078_Source1" 2 3 3 2 1 2 3 1 2 3 1 1 2 4 5 5 2 2 3
"79" "SOG_0079_Source1" 2 4 4 4 1 2 5 2 2 3 NA 1 2 NA 5 4 2 2 2
"80" "SOG_0080_Source1" 1 1 NA 4 2 3 4 2 1 2 2 1 1 3 5 4 3 5 3
"81" "SOG_0081_Source1" 1 5 2 2 1 1 5 1 1 1 1 1 1 5 4 5 5 1 2
"82" "SOG_0082_Source1" 1 4 3 2 3 4 2 2 2 3 3 2 2 2 5 4 3 4 4
"83" "SOG_0083_Source1" 2 4 3 2 1 4 3 1 1 2 1 1 1 4 5 2 2 5 3
"84" "SOG_0084_Source1" 2 4 4 5 2 4 4 1 1 5 2 2 4 4 4 4 2 4 2
"85" "SOG_0085_Source1" 2 5 2 5 2 3 4 3 4 3 2 1 1 2 5 4 5 5 5
"86" "SOG_0086_Source1" 2 4 3 2 4 2 3 3 3 3 2 3 3 3 4 2 2 4 3
"87" "SOG_0087_Source1" 2 4 3 4 1 3 5 1 4 4 5 1 3 5 5 5 2 5 2
"88" "SOG_0088_Source1" 2 5 5 3 3 3 4 2 2 4 2 4 4 4 4 3 2 2 2
"89" "SOG_0089_Source1" 2 4 3 2 2 4 4 2 2 1 2 2 2 3 4 3 2 4 4
"90" "SOG_0090_Source1" 2 5 NA 3 1 4 4 2 2 NA 4 2 3 4 4 4 4 4 2
"91" "SOG_0091_Source1" 2 4 3 2 1 2 3 2 1 3 1 1 1 4 5 1 5 5 4
"92" "SOG_0092_Source1" 2 4 3 1 3 1 3 2 2 2 1 1 1 1 5 1 1 2 5
"93" "SOG_0093_Source1" 2 4 3 4 1 2 NA 2 2 4 2 4 4 4 5 3 1 2 2
"94" "SOG_0094_Source1" 2 5 3 4 1 4 5 1 1 5 2 2 2 2 4 2 2 1 2
"95" "SOG_0095_Source1" 2 4 3 3 1 1 4 2 2 3 1 4 3 4 5 2 2 1 2
"96" "SOG_0096_Source1" 2 4 4 5 1 4 5 4 3 4 4 4 4 4 5 5 1 4 2
"97" "SOG_0097_Source1" 2 3 3 3 2 2 3 3 2 3 2 1 1 2 4 3 2 4 2
"98" "SOG_0098_Source1" 2 4 2 4 1 4 4 1 1 2 2 1 2 4 5 4 1 4 4
"99" "SOG_0099_Source1" 2 4 4 5 1 5 5 2 2 5 3 5 5 5 5 5 2 4 1
"100" "SOG_0100_Source1" 1 3 3 2 4 3 4 1 1 1 4 1 1 3 4 4 1 5 4
"101" "SOG_0101_Source1" 2 5 5 5 1 5 5 2 2 4 5 5 5 5 5 5 1 5 1
"102" "SOG_0102_Source1" 2 5 3 5 2 2 5 NA 4 2 1 1 4 4 5 2 1 1 2
"103" "SOG_0103_Source1" 2 5 5 5 2 5 5 1 1 4 4 4 4 4 5 5 1 5 1
"104" "SOG_0104_Source1" 1 5 3 5 1 4 5 1 5 5 5 3 3 5 5 5 1 5 1
"105" "SOG_0105_Source1" 1 4 4 2 2 2 4 2 4 2 4 2 2 4 5 5 2 5 3
"106" "SOG_0106_Source1" 1 4 3 2 2 2 4 3 3 2 3 1 2 3 4 3 2 4 4
"107" "SOG_0107_Source1" 2 4 4 3 2 3 4 1 2 3 3 3 3 4 4 4 2 3 3
"108" "SOG_0108_Source1" 2 4 3 5 1 3 3 1 1 5 4 2 4 4 5 5 1 4 3
"109" "SOG_0109_Source1" 1 4 5 3 1 4 4 1 1 5 2 5 5 5 5 5 1 5 1
"110" "SOG_0110_Source1" 1 5 3 1 2 2 2 4 4 4 1 1 1 3 4 2 2 4 2
"111" "SOG_0111_Source1" 1 3 2 3 1 2 4 2 4 3 3 5 4 3 5 2 2 2 2
"112" "SOG_0112_Source1" 1 4 3 4 1 4 4 2 2 4 4 3 3 4 4 4 2 4 NA
"113" "SOG_0113_Source1" 1 1 1 3 3 2 3 3 3 3 4 1 1 3 5 5 2 5 4
"114" "SOG_0114_Source1" 1 2 1 4 1 1 1 3 1 1 1 1 1 2 5 5 3 4 1
"115" "SOG_0115_Source1" 1 4 4 4 2 4 4 2 2 4 4 4 4 4 4 4 2 4 2
"116" "SOG_0116_Source1" 1 5 2 NA 1 5 1 1 1 5 5 5 5 5 5 5 1 1 1
"117" "SOG_0117_Source1" 1 4 3 1 1 3 4 1 1 1 1 1 1 2 4 4 1 4 4
"118" "SOG_0118_Source1" 1 4 3 2 1 2 3 2 2 3 NA 3 3 4 5 2 2 4 3
"119" "SOG_0119_Source1" 1 2 3 1 2 3 2 2 3 1 1 1 2 2 5 4 3 4 3
"120" "SOG_0120_Source1" 1 4 5 2 1 4 4 1 1 3 3 1 3 4 5 5 2 5 2
